Signature matrix with CIBERSORTx based on the scRNA-seq study (ALLEN BRAIN MAP)																			
The "1" values in the expression matrix txt files are genes with insufficient evidence of expression (these genes are either not expressed or have inadequate statistical power to be imputed).																			
NAME	LAMP5	VIP	PAX6	Oligodendrocyte	Astrocyte	L5/6_IT_Car3	L5/6_NP	IT	SST	L6_CT	OPC	L6b	PVALB	Microglia	L5_ET	Pericyte	Endothelial	L4_IT	VLMC
FGD1	1	1	6.080919349	1	1	1.556625101	2.908542451	2.446831175	1	3.475955989	1	1	1	1	1	1	1	8.461575569	158.633617
FGD2	1	1	1	1	1	1	1	1	1	1	1	1	1	408.0245129	1	1	1	1	1
FGD5	1	9.833230303	12.44546975	1	1	1	1	1	1	1	1	1	1	1	1	1	212.8798481	1	45.48754343
FGD6	1	1	1	1	219.4471558	8.85794512	1	7.626169507	1	1	1	1	7.832394632	1	8.879620692	1	90.01590085	1	854.6909959
FGF1	9.115346016	1	1	163.1246085	107.5866304	9.538979558	32.98926297	7.366810627	178.3132292	12.39944231	1	31.95043558	12.86422442	1	81.77420797	137.934156	1	8.56992353	284.2983626
FGF12	1326.282268	1349.657762	1104.138851	1	1	736.674837	1104.138851	1359.636661	1434.474461	1290.883588	1845.125893	1510.295155	3897.361042	1	1338.954878	247.5896776	1	1211.192393	1
FGF13	2184.010582	90.26655621	593.5457138	1	1	43.35462811	1	17.95216359	137.7870062	86.05118177	1	13.63375214	392.5037579	1	33.36972515	1	1	85.42622878	2150.098129
FGF14	8266.277366	2904.66005	3447.842551	1	46.89427114	1666.116904	1945.557551	1979.552433	2184.010582	2150.098129	2383.840401	1729.53351	1707.746153	1	1569.030128	1	1	2006.170837	70.31137657
FGF2	1	1	1	1	154.6295152	8.774517659	1	1	1	1	31.32139904	1	7.994237312	1	1	154.1337846	1	1	1
FGF9	99.31053313	72.36083218	64.1662413	1	1	3.979930886	8.362656076	13.79995252	9.427871487	12.22029903	1	13.86326257	109.3783047	1	27.72195837	1	1	105.4126714	1
FGFR1	1	1	1	1	103.9849335	1	233.6312499	1	1	2.920498048	282.6712251	61.03911774	9.488577627	1	1	1	60.06199582	1	1
FGFR2	1	1	1	654.0130618	480.336382	1	1	1	1	1	1	1	78.75490751	1	1	1	1	1	1
FGFR3	1	1	1	1	570.7049087	1	1	1	1	1	18.76326966	1	1	1	1	1	1	1	1
FHAD1	1	1	1	1	1	1	1	1	1	7.584918844	1	1	1	1	1	1	1	1	160.7450834
FHL2	1	1	1	1	1	93.12822934	1	18.62112454	1	19.06343265	1	28.37929075	1	1	5.064915696	1	1	70.11931057	115.3396269
FHL5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	620.1510914	120.7056912	1	1
FILIP1	1	1	1	1	1	1	1	1	1	113.7888279	1	99.25858932	12.16215788	1	1	1	1	1	1
FIRRE	1	1	1	1	100.7438003	1	1	1	1	1	1	1	1	1	1	1	1	1	75.60400758
FLI1	1	1	1	1	1	1	1	1	1	1	1	1	1	786.3558872	1	1	2006.170837	1	115.1112742
FLJ39080	1	1	13.80250195	1	1	165.1603907	13.64318395	97.4091142	1	180.3155483	1	102.5703508	55.92431531	1	200.252696	1	1	88.75583167	1
FLJ41278	7.729393691	18.10560485	128.0096905	1	1	41.2119662	172.6697309	129.1585719	201.0973773	119.8239953	1	14.31034138	300.1501491	1	189.668063	1	1	74.72408813	1
FLJ46906	1	1	1	1	124.5722561	1	1	1	1	1	1	1	1	1	1	1	1	1	1
FLNA	1	1	1	1	1	5.045807212	1	2.87561653	1	1	1	2.799795573	1	1	2.108793145	108.8838044	1	1	1
FLRT2	662.9089155	363.1875496	518.6011846	1	451.1985585	593.5457138	1	748.7354284	440.7322118	553.3979468	306.3965782	381.8296532	303.0927613	1	567.2467537	1	1	947.6356042	5947.195684
FLRT3	1	9.729746091	22.91658831	1	1	1	8.406396805	9.087111317	12.70650111	12.71938954	1	12.31472187	104.4344548	1	12.15697818	1	1	1	1
FLT3	1	1	1	1	1	1	7.951371785	1	158.7369952	1	1	1	21.90042999	1	1	1	1	1	1
FLVCR1	17.91343772	14.38997262	107.7484318	1	1	13.47051198	66.26130541	8.528720621	13.14770872	18.27496916	1	20.84021558	20.04634956	1	46.1844738	1	1	12.77493088	1
FLVCR2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	276.3927973
FMNL3	9.11131369	1	1	1	1	41.37417551	1	9.077565574	1	1	44.24932702	2.906339904	1	720.7615555	1	101.9887294	339.0792421	1	80.19855808
FMO3	1	1	1	1	1	1	1	1	1	1	106.6790355	1	1	1	1	79.41121551	1	1	30.22264891
FNDC5	1	1	1	1	1	1	1	1	1	1	1	1	12.75392119	1	1	1	1	1	1
FOLH1	1	1	1	565.4886579	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
FOLR2	1	1	1	1	1	1	1	1	1	1	1	1	1	164.8169276	1	1	1	1	1
FOXC1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	75.4667686	134.3766545	1	117.3646237
FOXF2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	138.0188923	1	1	1
FOXN2	1	8.252558341	7.851272771	403.4232314	104.150089	9.073244376	1	12.48281169	12.72800594	4.980277761	299.6974698	7.795576011	1	107.6403747	5.144581485	148.6707581	1	8.886319059	1
FOXO1	1	1	22.89185812	126.8123028	304.2101905	1	1	1	1	1	33.78713322	1	1	144.3728347	1	1	605.4584761	1	1
FOXP2	1	1	1	1	1	1	591.7178419	302.777876	1	814.1929137	1	528.9032808	1	1080.290589	1	1	1	95.48467757	308.3807723
FOXQ1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	117.7222461	61.10359814	1	1
FREM1	560.4277512	28.91430825	223.0317491	1	1	86.63304371	12.30315466	1	204.4389464	1	1	8.407818718	1	1	1	1	1	1	1
FREM2	1	1	1	1	94.52134613	1	1	1	1	1	83.44623335	1	1	1	1	1	1	1	1
FREM3	14.11180258	1	1	1	1	12.64313864	1	36.61153476	1	12.63157791	1	12.13464346	1	1	8.451368577	1	1	14.46631385	1
FRK	1	1	1	115.9590157	1	1	1	1	1	1	1	1	1	1	2.854993554	1	1	1	1
FRMD3	8.161195403	80.42478015	143.5515952	1	1	9.201880043	5.064915696	30.96965642	259.8488388	124.2238685	1	242.5639172	1	1	4.166821789	1868.079271	1	9.690742642	1
FRMD4B	18.41761657	1	201.0973773	1434.474461	1	1	1	1	184.6251528	1	139.5495544	1	121.2505419	344.5208124	1	1	87.85542854	1	34.81745639
FRMD5	200.6200644	495.9857814	324.2488035	2828.081959	232.5555811	543.7266389	241.1773155	383.1508598	881.2452402	9.892431201	419.6282177	8.95514237	1087.926558	1	350.1440867	1	1	640.8302399	1
FRMD6	1	1	1	1	13.46500069	8.58495862	1	71.98987376	80.74734367	1	124.2803972	1	1	1	66.30904211	414.067099	1	73.35886604	203.7860349
FRMPD1	41.32988551	8.524141949	1	1	1	1	1	1	1	1	1	1	30.78462137	1	1	1	1	1	1
FRMPD4	800.6819218	1301.894932	1038.646991	1	32.55470431	633.5508578	1201.605659	1185.796122	917.7427932	1817.296484	1	1554.241977	872.6706148	1	656.3569794	1	1	1290.883588	1
FRZB	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1045.640107	1	1	1
FSHR	1	1	1	1	1	1	30.72952382	1	1	1	1	1	1	1	1	1	1	1	1
FSTL4	1	8.895146595	43.75715257	1	1	352.250273	1	545.3422978	1	153.7706192	1	199.463856	64.26453102	1	70.7353074	1	1	456.2115804	1
FSTL5	2599.657601	1160.783157	1267.357561	1	153.5957455	37.26740656	404.8775332	274.7508684	539.3697054	172.0875573	1	1	248.1059292	1	46.77988393	1	1	1	1
FUT10	1	1	1	1	226.5406527	2.458737573	1	1	1	1	1	1	7.405863277	1	1.549018928	64.36570755	110.0919479	1	1
FUT11	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	101.9328082	1	1
FXYD6	710.1738612	675.291357	723.9277596	1	1	31.73844247	168.8886547	142.7803386	442.5988131	148.9530686	151.9927314	151.9098919	111.9764262	1	126.3136859	70.6553283	1	101.1161827	1
FYB	1	1	1	1	1	1	1	1	1	1	1	1	1	1729.53351	1	1	1	1	1
GAB3	1	1	1	1	1	1	1	1	1	1	1	1	1	208.6305245	1	340.4706816	1	1	1
GABBR2	868.5653169	710.1738612	395.0764591	1	1	395.0764591	413.2030419	625.639418	510.57244	527.4715317	1	364.4280671	533.0106202	1	530.3659277	1	1	690.4061847	1
GABPB2	13.84569363	7.631914174	7.851272771	1	12.28323202	1	6.182926567	2.79814834	7.811243631	2.848983966	1	4.091134189	6.150111112	1	2.114948927	1	1	1	336.3969908
GABRA1	775.5897555	978.5627417	1326.282268	1	1	152.3880848	414.067099	386.8801655	186.6386368	435.199239	1	411.0291722	754.9370848	1	417.1786564	1	1	450.2136582	1
GABRA2	93.03567762	245.7996262	524.7483993	1	797.0377856	354.3358951	1	317.9990812	242.1508413	119.1523269	1	144.9874	127.7331926	1	186.6386368	1	1	280.2421358	1
GABRA3	32.37988803	41.01496245	102.7345885	1	1	106.8324611	290.7804511	125.8433926	8.901806725	224.2633479	149.5417641	14.27854127	1	1	234.6936611	1	1	66.55558253	1
GABRA4	283.8636459	210.9867609	145.8080959	1	1	149.7302862	118.2094197	185.4524483	240.5137553	107.5866304	1	28.75509936	253.2948016	1	138.4733048	1	1	221.7084165	1
GABRA5	124.5722561	29.76987678	108.8838044	1	1	145.2607922	30.6991118	107.8136042	1	13.86054144	1	212.6734623	33.81253479	1	107.2609948	1	1	8.889375836	1
GABRB2	1393.338888	1052.410501	1067.301252	1	1	349.5993495	593.5457138	570.7049087	436.1491278	616.4157369	1	688.3338351	1073.853333	1	651.9751966	1	1	665.5274272	1
GABRB3	523.1390371	417.1786564	586.3190785	1	1	846.9134211	481.5481216	800.6819218	265.0187997	470.034585	169.4038288	768.7660716	278.2951742	1	656.3569794	1	1	551.5916154	1
GABRD	59.64806098	1	1	1	1	1	1	5.129037352	1	1	1	1.543430739	32.12640009	1	6.027052258	1	1	8.877173975	1
GABRE	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	93.37153308	1	1	1
GABRG1	1	1	232.7939255	1	231.4862968	1	1	37.95732186	57.14924475	1	1	30.96965642	1	1	1	1	1	1	1
GABRG2	338.7281969	431.0381573	863.2751184	1	1	166.4511335	275.0661759	388.9400097	253.7954557	334.8753225	1	237.7872447	332.4494165	1	255.2534673	1	1	505.012621	1
GABRG3	475.5729678	690.4061847	1192.426838	1	1	775.5897555	817.9031087	558.5733184	574.4999715	825.2534534	1	1031.948352	1067.301252	1	331.9736439	1	1	643.1334785	1
GAD1	885.1308583	932.1172332	693.0651189	1	1	1	1	1	854.6909959	1	333.9770174	1	1008.087447	1	1	1	1	1	1
GAD2	814.1929137	222.6640172	255.8298747	1	1	1	1	1	272.5680923	1	1	1	401.1519706	1	1	1	1	1	1
GAL3ST4	1	1	1	1	1	1	1	1	1	1	22.50722603	1	1	169.9556361	1	1	1	1	1
GALNT10	1	1	1	85.84039729	18.50429695	1	91.53207089	1	1	8.73661595	246.2542759	9.654481548	1	301.226717	1	1	193.1397356	1	247.8622502
GALNT13	252.5509029	876.6503703	103.3045915	595.0324785	1	8.082411898	715.8929782	238.8917208	111.8485767	199.9551403	1167.708036	282.0244033	305.3725094	1	177.4035529	1	1	442.5988131	1
GALNT14	14.48021595	67.07551393	1	1	1	635.6967124	222.088625	80.94205473	325.6254999	22.07545907	1	14.11787408	18.83170465	1	12.89946401	110.2088937	1	20.44226291	1
GALNT15	1	1	1	84.49203823	1	1	1	1	1	1	1	1	1	1	1	1	89.37243773	1	1
GALNT16	7.624482759	7.740405546	1	1	1	1	3.468698464	7.940883121	7.756559296	94.37874702	1	22.31516569	7.578911526	1	13.72768127	113.1360803	1	4.022421288	1
GALNT3	1	1	1	1	1	1	1	1	1	1	90.30995062	1	1	1	1	1	1	1	1
GALNT6	1	1	1	97.60869689	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GALNT7	73.0259892	128.8593829	11.90853005	1	71.98987376	1	65.07297293	77.08281617	87.09189877	9.357060862	34.34936095	13.31008952	229.5183969	1	9.372283349	1	1	9.710385388	231.4862968
GALNT9	1	1	1	1	1	5.149108382	12.35733564	8.979125876	1	29.09808253	1	9.127563725	1	1	9.703763834	1	1	13.24989408	1
GALNTL6	1219.311129	3294.347098	3294.347098	1	1	567.2467537	1	593.5457138	1729.53351	404.8775332	103.3542461	581.1058921	1601.72822	1	5.177115924	1	1	241.1773155	75.92535058
GALR1	1	1	1	1	1	1	1	1	1	1	85.79198076	1	1	1	1	1	1	1	1
GAP43	17.91899082	9.378572931	1	1	1	366.9593843	303.4412666	362.6101399	342.976845	254.7334138	1	187.9590612	117.6588558	1	375.6821526	1	1	521.7224526	1
GAREML	1	1	1	1	69.56341104	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GAS2L3	1	1	1	1	1	85.5972156	1	1	1	1	1	1	1	1	1	1	1	1	1
GATA2.AS1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	102.5703508	1	1
GATA6	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	129.0076445
GATB	1	1	1	1	1	5.102841029	9.429355787	13.01751691	1	8.90329768	1	9.012433546	1	1	8.90329768	1	1	28.34435398	1
GATM	1	1	1	388.9400097	162.2587242	1	1	3.454907186	1	1	194.0523435	1	1	111.2267377	1	1	1	9.566426649	1
GBE1	1	12.91168348	1	76.74313763	1	214.6493203	1	14.34087773	45.47361428	7.659183358	1	6.19721643	11.47133573	230.5474953	8.83760487	1	236.4255389	14.02732092	219.29436
GBP2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	95.33171469	1	1
GBP4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	173.6099457	1	1
GCA	8.85794512	31.06051865	1	170.7824084	1	30.70888671	80.24230338	91.30333781	13.22891762	142.6889588	1	80.46765356	84.97214498	1	135.371918	1	1	13.51280516	1
GCNT1	1	1	1	1	1	7.659183358	1	1	1	1	1	1	1	1	1	1	218.5949898	1	41.53629955
GDA	27.88547469	66.97171452	110.4988629	1	1	1	183.2832023	141.053275	95.02811269	218.7601817	1	317.2320672	1	1	271.5941451	1	1	140.7915034	1
GDNF.AS1	1	1	1	1	1	1	45.74525611	1	1	1	71.81782654	1	1	1	1	1	1	1	1
GFAP	1	1	1	1	455.2035846	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GFPT2	1	8.738054757	1	1	32.9471783	8.554105514	136.301925	9.79029786	1	47.78696921	1	21.19193261	1	1	9.152586907	1	1	12.87603305	1
GFRA1	1	1	1	1	1	76.65689942	1	1	1	1	143.8300405	13.14978205	1	1	33.11237833	1	1	1	528.9032808
GGCT	1	1	8.21563288	1	1	29.63277638	8.298867163	30.53296391	1	13.65997036	1	41.81308236	1	1	69.08536161	1	1	22.50722603	1
GGH	1	42.65884262	1	1	1	1	13.62801268	1	1	7.767507093	1	4.976406838	1	1	9.434008481	1	1	1	1
GGT5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	533.0106202	1	1	1
GGTA1P	1	1	1	1	1	1	1	1	1	1	1	1	1	186.3217669	1	1	1	1	1
GHR	9.738880417	1	1	1	1	1	506.6149367	97.50505872	113.0758977	352.7182958	319.7628623	127.6064487	172.7896869	1	148.2068797	59.88732669	1	1	345.4298563
GIGYF1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	85.74155483
GIMAP4	1	1	1	1	1	1	1	1	1	1	1	1	1	277.373978	1	1	221.3273638	1	1
GIMAP7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	303.4412666	1	1
GIMAP8	1	1	1	1	1	1	1	1	1	1	1	1	1	108.3585159	1	1	222.2666446	1	1
GJA1	1	1	1	1	416.4340047	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GJA4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	152.9943932	1	1	1
GJB1	1	1	1	86.67860192	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GJB6	1	1	1	1	125.2359334	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GJC1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	145.7129157	1	1	1
GLB1L2	37.59069285	82.95008586	9.831638295	1	1	17.93552091	1	9.326370457	1	14.45575255	1	7.635634624	1	1	64.3108458	1	1	1	1
GLDN	7.84239192	1	9.697525796	660.5531556	1	1	1	1	1	1	1	1	1	216.3323632	1	1	1	5.073854941	1
GLI2	1	1	1	1	36.61153476	1	1	1	1	1	1	1	1	1	1	1	1	1	688.3338351
GLI3	1	1	1	1	631.6190687	1	1	1	1	1	1	1	1	1	1	109.2161435	124.2803972	1	1
GLIPR1	9.635484451	11.95260717	9.720913396	1	1	2.961408001	1	28.05028852	150.896898	1	1	1	168.3862064	294.3459569	12.5247155	1	1	12.90938647	1
GLIS3	9.611940534	9.002840084	1	1	1067.301252	1	1	122.8018302	9.81692941	1	1	1	14.18204822	95.7428004	1	1	192.0767439	342.5052	172.0875573
GLRA2	39.94095161	227.500547	83.18254288	92.27629165	1	91.63672571	75.87040587	8.217387171	136.2338643	94.22379061	1	13.46245084	165.9772317	1	13.46500069	1	1	1	1
GLRA3	1	1	1	1	1	1	1	111.67388	9.629512897	4.09270953	1	149.7302862	1	1	65.35578983	1	1	129.6671678	1
GLRX5	1	1	1	1	1	4.057784944	1	4.837960295	1	1	1	2.877900654	8.001148114	1	4.067988941	152.2988305	1	6.227447487	1
GLTP	1	1	1	115.5113788	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GLUD1P3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	97.79795038
GLUL	12.70929438	1	101.6146309	418.045792	1267.357561	1	1	1	1	1	1	1	8.479395832	84.38851074	1	79.12237407	193.7278843	1	1
GNA14	1	1	1	1	248.8370186	1	9.891043896	1	1	1	1	1	1	1	1	1	1	1	112.4261307
GNAL	171.7350098	211.3518315	128.9202321	1	13.16179696	120.0860731	1	75.60400758	1	238.6356943	80.99327612	4.166821789	214.1140683	1	1	1	1	5.157703139	1
GNG11	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	941.8582196	317.2320672	1	107.7484318
GNG12.AS1	174.1098199	81.03654193	196.5036356	1	225.4970618	1	12.59819354	1	393.8283491	235.3526282	69.24713532	1	120.0860731	1	1	1	1	1	1
GNG2	43.07951652	190.6069824	35.13805124	1	1	400.3504707	1	92.4799197	140.0385793	101.1161827	158.633617	144.1364394	13.22690055	118.7954012	82.49519148	1	1	148.4113263	1
GNG3	62.73140368	34.62294433	95.14098083	1	1	87.239046	14.11787408	37.33362158	127.943753	9.335659572	1	93.28024371	22.37375962	1	65.40308396	1	1	20.88989924	1
GNG4	128.8593829	9.192299369	98.76008082	1	1	32.04250456	1	1	89.37243773	1	1	1	1	1	61.31832833	1	1	1	1
GNG5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	307.9376426	1	1
GNL2	1	1	1	1	1	7.413051932	1	1	1	1	1	7.49801025	1	1	8.354583476	1	86.72758364	1	373.0756731
GNPDA2	18.57109544	22.76243302	70.20658479	1	1	30.98419625	43.4694882	37.95732186	29.16541973	19.25380197	1	27.75105739	22.22160499	1	13.89939498	1	1	115.9590157	1
GOLGA7	9.806379545	12.44796985	9.036742692	234.4517802	1	7.574884512	1	6.171702239	1	1	1	8.045511646	7.705196752	1	5.073854941	1	1	1	1
GOLIM4	186.6386368	1	1	1	196.1971786	1	1	1	1	1	124.5722561	1	156.842092	1	1	155.3304041	1	1	1
GPAM	1	1	1	1	150.896898	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GPC3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	83.31667766
GPC5	1	12.81296114	1	1	5019.266909	397.988218	768.7660716	182.4745818	190.6069824	28.52001186	921.7321246	833.6833687	614.4926803	1	1	8266.277366	1	137.075984	1
GPC6	129.4587538	13.40251042	149.3540184	1	129.4587538	348.0153887	745.4628642	521.7224526	1281.157777	1	1381.051243	14.39272575	966.3246463	1	829.4958206	1	1	501.3311398	1
GPCPD1	18.39700883	1	11.97818363	1	21.77374317	7.847697733	9.807719772	12.67185111	12.00419462	16.73481099	134.1487481	29.75408772	8.689240822	453.1549647	13.60469129	124.5722561	3897.361042	9.445391138	1
GPER1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	101.1780223	1	1	1
GPNMB	1	1	1	1	1	1	1	1	1	1	778.6446619	1	1	1	1	1	1	1	31.2048642
GPR149	1	132.3787835	1	1	1	1	1	1	1	1	1	1	109.2161435	1	1	1	1	1	1
GPR158	545.3422978	375.0217118	587.944726	1	1	17.22587756	772.0456831	375.0217118	221.1369458	531.6726352	377.6903488	643.1334785	204.7629887	1	386.8801655	1	1	403.4232314	1
GPR17	1	1	1	1	1	1	1	1	1	1	126.8123028	1	1	1	1	1	1	1	1
GPR183	1	1	1	1	1	1	1	1	1	1	1	1	1	177.5536034	1	1	1	1	1
GPR22	64.26453102	62.30120651	94.52134613	1	1	78.39914618	13.51618448	136.759769	78.3229935	13.75655517	1	94.27776907	189.0881543	1	182.8800711	1	1	138.8058633	1
GPR34	1	1	1	1	1	1	1	1	1	1	1	1	1	645.5907403	1	1	1	1	1
GPR37	1	1	1	373.806662	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GPR37L1	1	1	1	1	13.96731891	1	1	1	1	1	73.27009898	1	1	1	1	1	1	1	1
GPR63	77.17310424	1	47.53956012	1	1	201.2415686	1	31.18418698	1	12.43725266	1	28.7312738	1	1	157.121835	1	1	14.49866242	1
GPR85	1	1	7.338149107	1	1	4.170770496	7.487443932	1	1	1	1	6.230868931	1	1	1	1	561.8635557	1	1
GPRC5B	7.621097148	1	7.707370838	553.3979468	186.4624651	1	1	1	1	1	100.2252934	1	1	1	1	1	1	1	1
GPRC5C	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	136.4578661	1	1	1
GPRIN3	1	18.83668937	1	1	1	1	155.5254809	1	37.82752394	1	1	12.97193553	1	143.2133445	84.57689595	1	1	1	1
GPT2	1	8.183391142	1	1	138.4099653	1.54195942	1	2.834736334	1	1	1	1.554658694	1	1	1	1	1	4.884481953	118.8531011
GPX3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	59.52207491	1	30.3726886	1
GRAMD3	1	1	1	120.1473298	577.7493172	1	1	1	1	1	162.6853476	33.04666876	1	1	1	620.1510914	1	1	565.4886579
GRB14	1	18.73960925	8.926262439	1	1	14.31279267	18.7441776	8.21876179	1	1	1	1	1	1	92.77360781	1	1	1	1
GREB1L	61.96326119	18.39225292	240.0475447	226.5406527	1	1	1	12.55506398	12.20291188	1	1	12.9342591	1	1	4.14918324	1	1	9.821616524	1
GREM2	1	1	1	1	1	1	78.96893104	7.482837282	8.485893006	12.50778859	1	1	7.513315329	1	95.14098083	1	115.7669343	8.743657761	1
GRHPR	1	1	1	113.7204589	1	4.998053965	1	1	1	1	1	1	1	1	1	1	1	1	1
GRIA1	953.9410233	947.6356042	947.6356042	1	83.44623335	1080.290589	430.1377549	680.2782624	1104.138851	690.4061847	196.0408042	682.9147969	1239.301344	1	782.5057018	1	1	447.2418622	1
GRIA3	446.230917	127.315513	406.6922023	1	1	151.7203634	132.8843387	611.0025283	947.6356042	778.6446619	542.5228296	972.4204187	570.7049087	1	1000.963515	1	78.96893104	704.214587	1
GRIA4	2970.351364	510.57244	298.5934624	265.6436428	280.2421358	1281.157777	1369.594748	984.7167089	211.5282097	100.3762037	850.6561661	462.7515819	1569.030128	1	13.96731891	1	1	1112.547075	141.1274528
GRIK1	2904.66005	1087.926558	1541.13217	1	1	1	505.012621	1	5947.195684	1	1349.657762	1	730.8337805	1	144.0734222	36.47772014	1	1	1
GRIK2	4062.220952	3751.701867	5432.37129	1	14.09297299	1267.357561	565.4886579	1135.874886	5432.37129	1038.646991	1359.636661	1541.13217	1945.557551	1	5947.195684	1	1	885.1308583	1
GRIK3	1	1	1	1	1	1	92.6241402	19.93634749	418.874036	230.7562889	111.329881	194.1810744	205.0877421	1	43.54622098	1	1	4.114734403	1
GRIK4	133.7810046	30.81484506	8.850525021	82.91565449	169.1465922	56.06500522	46.35868886	91.39573889	1	256.8951425	238.1869364	14.45575255	1	1	152.69061	1	1	1	1
GRIN2A	2828.081959	658.4090363	932.1172332	138.0837679	1	640.8302399	1013.652493	917.7427932	485.1550876	807.0483502	1	637.8547862	374.3832999	1	1192.426838	1	1	1067.301252	1
GRIN2B	778.6446619	897.9631902	797.0377856	1	1	654.0130618	649.6068191	730.8337805	893.9059707	598.3532825	242.8099931	863.2751184	953.9410233	1	778.6446619	1	1	553.3979468	1
GRIN2C	1	1	1	1	183.6998584	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GRIN3A	656.3569794	209.1183744	386.2349647	1	1	1	349.5993495	12.50778859	872.6706148	7.476542832	1	12.52960979	101.0108753	1	145.8840165	1	1	1	1
GRIP1	5432.37129	1945.557551	4062.220952	1	58.51458354	584.5697063	1434.474461	273.2100967	3563.704806	814.1929137	165.3696228	511.8799651	3294.347098	1	302.4121957	1	1	154.6295152	1
GRIP2	198.5516107	108.0739405	166.5739348	1	1	1	1	1	155.037233	1	1	1	177.9427972	1	1	97.20954259	1	1	1
GRK5	1	7.702008523	9.230282501	1	1	1	1	5.077300173	9.460410438	1	1	1	8.326521203	125.1624574	1	463.859371	127.0988206	4.176887928	190.3261207
GRM1	1	161.1665703	68.40068925	1	1	511.8799651	12.29288791	428.2719842	572.6820246	126.7429813	1	18.27496916	1	1	321.1069632	1	1	287.9239797	1
GRM3	117.0022689	18.84166997	17.82052917	1313.22726	984.7167089	1	850.6561661	347.5099783	12.67663874	607.4221508	1	303.0927613	91.11543648	1	250.4990777	3294.347098	1	158.8363221	1
GRM4	6.14460537	1	1	1	1	1	115.6553045	1	1	14.29690629	1	1	1	1	1.145394102	1	1	1	1
GRM5	1687.070179	381.0928073	797.0377856	1	1	710.1738612	1281.157777	1211.192393	1000.963515	1025.73855	978.5627417	1554.241977	1326.282268	1	1025.73855	1	1	885.1308583	1
GRM8	257.4103757	92.27629165	1	1	1	1	790.3199039	178.1962664	128.9202321	548.6726533	82.91565449	36.55970718	287.0144956	1	953.9410233	1393.338888	1	8.538532574	64.79557727
GRN	1	1	1	1	1	1	1	1	1	1	1	1	1	107.2609948	1	1	1	1	1
GRPR	13.20660149	1	45.8299135	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GSG1L	1	1	1	1	1	154.719791	1	13.00974363	1	8.642098159	127.6735434	72.48942376	1	1	1	1	1	1	1
GSN	1	1	1	486.3601048	207.8977215	1	1	1	1	8.359666782	58.81988905	5.080761067	1	250.9848007	1	430.1377549	102.9336633	1	800.6819218
GSN.AS1	1	1	1	84.49203823	1	1	1	1	1	1	1	1	1	1	1	1	1	1	45.14196853
GSTM2	1	1	1	1	93.12822934	1	1	1	1	1	1	1	1	185.3068305	1	231.2852286	1	1	1
GSTM5	1	1	1	1	92.53376747	1	1	1	1	1	1	1	1	1	1	1	1	1	221.6086365
GSTP1	7.956123397	8.112660839	7.991070841	96.71851969	1	1	1	1	8.974203273	1	1	1	1	1	1	344.9419026	1	1	1
GTF2F2P1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	107.8136042	1	1	1
GTF2H2	1	1	1	1	1	1.558197317	2.419454712	1	1	1	1	1	1	1	1.129413428	111.2267377	1	1	1
GTPBP1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	105.3057618	1	1
GTPBP2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	133.9237075	1	1	1
