Signature matrix with CIBERSORTx based on the scRNA-seq study (ALLEN BRAIN MAP)																			
The "1" values in the expression matrix txt files are genes with insufficient evidence of expression (these genes are either not expressed or have inadequate statistical power to be imputed).																			
NAME	LAMP5	VIP	PAX6	Oligodendrocyte	Astrocyte	L5/6_IT_Car3	L5/6_NP	IT	SST	L6_CT	OPC	L6b	PVALB	Microglia	L5_ET	Pericyte	Endothelial	L4_IT	VLMC
ADAM28	1	1	1	1	1	1	1	1	1	1	1	1	1	1462.577449	1	1	1	1	1
ADAM33	1	102.6153588	1	1	1	1	1	1	1	1	1	1	1	1	1	478.9447813	1	1	163.6339916
ADAMTS12	1	1	1	1	1	1	139.8697931	1	1	1	1	1	1	1	1	1	1	1	2970.351364
ADAMTS14	1	1	1	71.21253525	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ADAMTS16	1	1	1	1	1	1	1	19.30272519	1	1	1	1	1	1	1	1	1	1	1
ADAMTS17	1	93.68285192	1	1	412.4333755	8.376167353	1	1	39.09885999	1	586.3190785	1	411.0291722	1	1	1	1	1	30.22264891
ADAMTS19	386.2349647	226.1377459	115.8378873	1	1	531.6726352	561.8635557	244.143379	291.4797286	312.2160822	1	258.1876683	93.68285192	1	431.7650192	1	1	226.935938	1
ADAMTS3	1	1	1	1	1	143.3649163	1	173.3865937	1	9.470671865	1	1	1	1	1	1	1	75.0332559	1
ADAMTS6	1	169.9556361	1	1	1	1	1	1	1	1	170.4486908	1	1	1	1	1	1	1	1
ADAMTS9	1	9.28239923	1	1	107.8136042	1	8.624598737	1	1	1	86.91432301	1	1	1	1	1	1	1	1
ADAMTS9.AS2	214.6493203	122.5045346	1	1	1	1	30.92954685	1	160.9532219	1	37.68649222	1	155.037233	1	1	778.6446619	237.9723	1	524.7483993
ADAMTSL1	1	1	1	1	1	72.0443668	410.3244791	36.29237273	11.70108618	1281.157777	1	677.3856726	1	1	20.52165638	1	1	18.35033959	1
ADAMTSL3	228.7077445	13.33735823	14.07889522	145.5393687	1	135.1261578	218.1946546	12.40729829	244.8322805	38.38520006	1	214.3260379	1	1	457.2390068	1	1	9.147924592	1
ADAMTSL4.AS1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	167.7369474	1	1	1
ADAP2	1	1	1	1	1	1	1	1	1	1	1	1	1	565.4886579	1	94.92634717	1	1	1
ADARB1	12.54202862	27.4971362	36.26707062	1	1	13.55609503	32.28289627	43.00482429	72.70474249	33.11237833	1	9.807719772	153.6864567	1	14.20575902	1	126.5304905	9.713383845	109.1625221
ADARB2	5947.195684	5019.266909	6350.472152	389.5144539	20.12836541	1	1	1	1	1	1045.640107	1	1	1	1	131.0398681	1	1	1
ADCY1	145.2607922	14.13858828	94.22379061	1	1	175.2802265	112.7792663	227.3124755	121.8335341	439.7113072	123.8125118	274.7508684	365.7622581	1	219.642627	1	1	225.4970618	1
ADCY10P1	1	1	1	73.56914676	1	1	1	1	1	1	1	1	7.63755328	1	1	1	1	1	1
ADCY4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	80.60440828	1	1
ADCY7	1	1	1	1	1	2.459584769	1	1	1	1	1	12.20571016	1	354.857516	1	1	1	1	1
ADCY8	93.37153308	17.75606859	164.7263177	1	205.7831949	1	1	1	317.2320672	8.935228196	173.8707814	18.21137089	306.7380918	1	19.63129291	1	1	19.60517886	1
ADCYAP1R1	114.0488392	117.1217084	100.5932014	1	147.4548829	1	1	1	132.1677925	13.03587068	1	30.05128266	143.4613909	1	13.48318936	1	1	1	1
ADD3.AS1	1	1	1	1	155.7317849	4.170770496	1	1	1	1	84.92385007	71.07491937	1	1	1	1	1	1	75.3389015
ADGRA3	1	1	1	1	390.9765652	1	1	1	1	1	91.7813752	1	1	1	1	1	1	1	140.9612662
ADGRD1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	234.9125974	1	1	63.38133029
ADGRF5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	470.034585	2039.025524	1	29.18003354
ADGRG1	1	1	1	1	205.4074911	1	1	1	1	1	164.4989514	1	1	234.6936611	1	1	1	1	1
ADGRG6	1	1	1	1	1	1	1	1	14.13617176	1	1	1	1	1	1	1	1	1	1
ADGRL2	761.53199	315.4876917	184.8827269	1	1	1258.681835	165.4545251	932.1172332	1073.853333	476.8191599	1	84.78681217	698.0093086	1	579.4813429	607.4221508	423.9509827	1267.357561	1
ADGRL4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1135.874886	1	1
ADGRV1	1	8.984354219	7.963923481	1	4251.785101	90.82824166	13.11651453	72.92083227	1	12.30517899	1	1	1	1	172.3041963	1	1	178.1962664	1
